Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.803841601797978,0.0139676845390966,b3916,b4382,b4384,b3708,b3008,b1850,b2407,b1200,b2797,b3117,b1814,b4471,b0261,b2366,b1723,b3825,b0494,b0516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.504275368719,0.251490480544126,b2836,b3553,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b2883,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b4374,b0675,b2361,b2291,b0261,b0411,b4381,b0112,b0114,b0509,b3125,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.453765439954481,0.018581567497603,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2925,b2097,b1850,b3617,b2407,b3844,b3124,b1982,b2797,b3117,b1814,b4471,b3665,b0261,b0507,b2406,b0112,b0452,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.504478913035158,0.244193322332735,b3916,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b1982,b1200,b2797,b3117,b1814,b4471,b3616,b3589,b2440,b4374,b0675,b2361,b2291,b0261,b0112,b0452,b2868,b0114,b0509,b3125,b2366,b1723,b2492,b0904,b1533,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.451309362076839,0.225075455560244,b2836,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b2779,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b2366,b0755,b3612,b2492,b0904,b1533,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.59472298769414,0.17456023667782,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3708,b3008,b0871,b3617,b0030,b2883,b2920,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b0728,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.62042952357886,0.146288719732658,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b2883,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b0261,b0411,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.451314057591848,0.225077797291548,b3553,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b0030,b2407,b3124,b1779,b1982,b2797,b3117,b1814,b4471,b1033,b2440,b4374,b2361,b2291,b0261,b0411,b0112,b2789,b3127,b0452,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.493100030394212,0.0200209674936389,b2836,b3553,b4382,b4269,b0493,b3588,b3003,b3011,b4384,b3708,b3008,b0871,b2926,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b1033,b1602,b1727,b0114,b1539,b2492,b0904,b1533,b1380,b2660,b1771,b4141,b1798,b1518,b0606,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.384382958176087,0.14118753963071,b4467,b1478,b4382,b1241,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b2920,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b2799,b3945,b1602,b0153,b2913,b0590,b2406,b0728,b1539,b2492,b0904,b1533,b3821,b1380,b0606,b2285,b1007,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.384646919871843,0.140843422803464,b4467,b1478,b4382,b1241,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b2920,b1982,b2797,b3117,b1814,b4471,b0261,b2799,b3945,b1602,b2406,b3915,b0728,b2366,b0755,b3612,b2492,b0904,b1533,b3821,b1380,b2660,b3662,b0606,b2285,b1009,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.413314685520059,0.0984821079513316,b4467,b2836,b1478,b3399,b1241,b4069,b2744,b3708,b2297,b2458,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b2799,b3945,b1602,b4381,b2406,b2366,b2492,b0904,b1533,b1380,b2660,b4141,b1798,b0606,b2285,b1010,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.415890794965693,0.0939227018377328,b4467,b3399,b4069,b2502,b2744,b3708,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b2920,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b0452,b1727,b0114,b0728,b2366,b2492,b0904,b1533,b1380,b2660,b0606,b2285,b1010,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.376376875340853,0.146072183039677,b4467,b2836,b1478,b1241,b4069,b4384,b3708,b2297,b2458,b2779,b0030,b2407,b1238,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0261,b0335,b2799,b3945,b1602,b2223,b4381,b2406,b3915,b0728,b1539,b2492,b0904,b1533,b1380,b2660,b3662,b0606,b2285,b1007,b4209,,,,,,,,,,,,,,,,,,,,,,,,
44,0.371992069844279,0.136636247749296,b3553,b1478,b3399,b1241,b4069,b2502,b2744,b3708,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b2920,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b0728,b2366,b2492,b0904,b1533,b3821,b1380,b2660,b0606,b2285,b1011,,,,,,,,,,,,,,,,,,,,,,,,
44,0.477151446942853,0.0259834145862864,b4467,b4382,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2407,b1004,b3713,b1109,b0046,b3236,b1779,b2920,b1982,b2797,b3117,b1814,b4471,b2440,b0261,b2799,b3945,b1602,b2913,b2239,b2406,b3915,b1727,b0114,b0728,b2366,b2492,b0904,b1533,b1380,b3662,b0606,b2285,b1011,b4209,,,,,,,,,,,,,,,,,,,,,,,,
45,0.502625755711243,0.250674543140491,b4382,b0474,b2518,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b2781,b0099,b3617,b0160,b3124,b2883,b1982,b2797,b3117,b1814,b4471,b1623,b0261,b2342,b3845,b2406,b0112,b2789,b3127,b0452,b2868,b4064,b4464,b2975,b0114,b3603,b1539,b2492,b0904,b2954,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,
46,0.363447661184009,0.141054722665192,b2836,b3553,b1478,b3399,b4382,b1241,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b2920,b1982,b2797,b3117,b1814,b4471,b1033,b1623,b0261,b2799,b3945,b1602,b2913,b2406,b3915,b0728,b2366,b2492,b0904,b1533,b1380,b1695,b0606,b2285,b1009,b4209,,,,,,,,,,,,,,,,,,,,,,
47,0.464223649726914,0.0279047654352118,b3553,b3399,b1241,b0351,b4069,b2744,b3708,b3008,b2297,b2458,b2926,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b2920,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b2913,b3915,b1727,b0728,b2366,b2492,b0904,b1533,b3927,b3821,b1380,b0606,b2285,b1010,,,,,,,,,,,,,,,,,,,,,
47,0.513311212202599,0.00767625548859208,b4467,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b3008,b0871,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b2797,b3117,b1814,b4471,b3449,b0675,b2361,b2291,b0335,b2799,b3945,b1602,b2239,b1727,b0728,b1539,b2492,b0904,b1533,b3927,b1380,b2660,b1511,b0606,b2285,b1007,,,,,,,,,,,,,,,,,,,,,
48,0.425642634873781,0.0925013262777554,b3553,b1478,b4382,b1241,b3831,b4069,b4384,b3708,b0910,b3115,b1849,b2296,b2779,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b2143,b2797,b3117,b1814,b4471,b2498,b1033,b0261,b2799,b3945,b1602,b0153,b2913,b2406,b2366,b2492,b0904,b0591,b1533,b1380,b4141,b1798,b3662,b0606,b2285,b1010,,,,,,,,,,,,,,,,,,,,
48,0.478698887588242,0.0409051245707775,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b2744,b3708,b3008,b0871,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b4015,b0261,b2799,b3945,b1602,b2913,b0755,b3612,b1539,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b2285,b1011,,,,,,,,,,,,,,,,,,,,
49,0.368752386692799,0.135034569044295,b4467,b1478,b1241,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b0030,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2920,b1982,b2797,b3117,b1814,b4471,b2210,b4374,b2361,b2291,b0261,b0411,b2799,b3945,b1602,b4381,b3915,b2868,b4064,b4464,b0728,b1539,b2492,b0904,b1533,b3821,b1380,b2660,b0606,b2285,b1009,,,,,,,,,,,,,,,,,,,
49,0.419675854509824,0.0999294361174235,b3553,b1478,b4382,b1241,b4069,b4384,b3708,b3115,b1849,b2296,b2779,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b2799,b1602,b2406,b3915,b0452,b1539,b2492,b0904,b1781,b3001,b1533,b1380,b0325,b2660,b1771,b4141,b1798,b3662,b0606,b2285,b1011,b4209,,,,,,,,,,,,,,,,,,,
50,0.363464417710326,0.139708738460552,b2836,b3553,b1478,b1241,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b0030,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b2361,b2291,b0261,b0411,b0335,b2799,b3945,b1602,b2223,b4381,b3915,b2868,b4064,b4464,b0728,b1539,b2492,b0904,b1533,b1380,b2660,b0606,b2285,b1008,b4209,,,,,,,,,,,,,,,,,,
50,0.45576888252184,0.0325394045047049,b4467,b4382,b1241,b0351,b4069,b4384,b3708,b3008,b2297,b2458,b2926,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b0937,b1982,b2797,b3117,b1814,b4471,b0261,b0335,b2799,b1602,b2913,b2406,b0452,b1727,b0728,b1539,b2492,b0904,b1781,b3001,b1533,b3927,b1380,b0325,b1771,b3662,b0606,b2285,b1009,,,,,,,,,,,,,,,,,,
53,0.410145371049108,0.00846585377974501,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3708,b3008,b1479,b3752,b0871,b2779,b2407,b3236,b0907,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b3665,b4374,b2361,b2291,b1415,b1014,b0261,b0411,b3945,b0112,b1745,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b1380,b0325,b4266,b3662,b1813,b0221,,,,,,,,,,,,,,,
54,0.437891149488333,0.0788991118699806,b4467,b1478,b4269,b0493,b3588,b3003,b3011,b0474,b2518,b1241,b2502,b4384,b2744,b3708,b3008,b0871,b2781,b0099,b0030,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2920,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b2799,b3945,b1602,b3915,b4064,b4464,b0728,b2366,b2492,b0904,b2954,b1533,b1380,b2660,b0606,b2285,b1010,,,,,,,,,,,,,,
55,0.309888378547921,0.174041786903914,b4467,b1478,b4382,b3942,b1732,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b2463,b2920,b1982,b2797,b3117,b1814,b4471,b2210,b2440,b3551,b0261,b1602,b4219,b1832,b1778,b2406,b3915,b0114,b0728,b0755,b3612,b1539,b2492,b0904,b1533,b1380,b1710,b2480,b0494,b1771,b3662,b0606,b2285,b4209,,,,,,,,,,,,,
55,0.464041495071005,0.0426483020753868,b3553,b1478,b1241,b4069,b4384,b2744,b3708,b0910,b3752,b3115,b1849,b2296,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b2920,b1982,b0477,b4139,b2797,b3117,b1814,b4471,b1033,b4374,b2361,b2291,b0261,b2799,b3945,b1602,b2406,b3915,b0728,b0509,b3125,b1539,b2492,b0904,b2954,b1298,b1533,b3825,b3029,b1380,b2660,b3662,b0221,b2285,b1009,,,,,,,,,,,,,
68,0.389164620109395,0.0329778488267736,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3708,b3008,b1479,b0871,b2297,b2458,b2926,b0030,b2407,b3236,b2463,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b2210,b4267,b3665,b4374,b2361,b2291,b3551,b1014,b3945,b2913,b4219,b1832,b1778,b0112,b2975,b0114,b3603,b0509,b3125,b2366,b0306,b3605,b2492,b0904,b0591,b1533,b3927,b3821,b1380,b0325,b1710,b2480,b4266,b3662,b2842,b1517,b4209
