Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
11,0.0423073897460809,0.317984677332839,Rv3303c,Rv0843,Rv0462,Rv2332,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0423073897460809,0.317984676931189,Rv0843,Rv0462,Rv2495c,Rv2332,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.045072482386365,0.174187789271556,Rv0069c,Rv2476c,Rv1098c,Rv2920c,Rv1595,Rv2780,Rv0084,Rv2899c,Rv1905c,Rv1077,Rv1475c,
11,0.0424823178792194,0.178207353384291,Rv0069c,Rv2476c,Rv2920c,Rv0694,Rv1595,Rv2780,Rv0084,Rv2899c,Rv1905c,Rv1077,Rv1475c,
11,0.0433724260136113,0.261540665151879,Rv0843,Rv0462,Rv2496c,Rv1240,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0446827930315116,0.156583892955069,Rv0069c,Rv2476c,Rv1240,Rv0211,Rv2920c,Rv1595,Rv2780,Rv0084,Rv2899c,Rv1905c,Rv1077,
12,0.0423073897183254,0.317984680952569,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv2332,Rv0211,Rv0522,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c
12,0.0433724260309584,0.261540801014385,Rv3303c,Rv0843,Rv0462,Rv0753c,Rv1240,Rv0211,Rv0522,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c
12,0.0444463904466484,0.186446432013951,Rv1908c,Rv0069c,Rv2476c,Rv2674,Rv0137c,Rv1098c,Rv0211,Rv2920c,Rv2780,Rv0084,Rv2899c,Rv1077
12,0.042482317906975,0.178207417228483,Rv1908c,Rv0069c,Rv2476c,Rv2674,Rv0137c,Rv2920c,Rv0694,Rv2780,Rv0084,Rv2899c,Rv1077,Rv1475c
12,0.0433724260309584,0.261540801596461,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv1240,Rv0211,Rv0522,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c
12,0.045072482386365,0.174187917677656,Rv1908c,Rv0069c,Rv2476c,Rv2674,Rv0137c,Rv1098c,Rv2920c,Rv2780,Rv0084,Rv2899c,Rv1077,Rv1475c
12,0.0423073897183254,0.317984680952569,Rv0843,Rv0462,Rv2495c,Rv0753c,Rv2332,Rv0211,Rv0522,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c
