Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.664450461037171,1.68445098499373,b0871,b2779,b2925,b2097,b0907,b3946,b0825,b1493,b3517,b0726,b4381,b2789,b3127,b0114,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.633569671374031,0.134163678823479,b4382,b4069,b4384,b3708,b3008,b3115,b1849,b2296,b2779,b0030,b2407,b3844,b1779,b1982,b2797,b3117,b1814,b4471,b0595,b0261,b2406,b0112,b2789,b3127,b0452,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3825,b3447,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,
37,0.611285074423687,0.129469363717276,b4069,b4384,b2744,b3708,b3008,b2297,b2458,b2779,b2925,b2097,b0030,b2407,b0593,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b2265,b4374,b2361,b2291,b0261,b0411,b2789,b3127,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,
38,0.606097921719273,0.116755186443446,b3399,b0586,b4069,b2502,b2744,b1278,b3708,b3008,b3115,b1849,b2296,b2779,b2925,b2097,b2690,b1982,b2797,b3117,b1814,b4471,b3449,b4374,b0675,b2361,b2291,b0261,b0822,b2789,b3127,b0452,b1727,b0114,b2366,b2492,b0904,b2578,b1533,b3927,,,,,,,,,,,,,,,,,,,
39,0.606097921719287,0.116755186440512,b2836,b4069,b4384,b2744,b3708,b3008,b3115,b1849,b2296,b2925,b2097,b2926,b0030,b2407,b3124,b0583,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b4374,b0675,b0261,b4381,b2406,b2789,b3127,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b0514,b3662,,,,,,,,,,,,,,,,,,
39,0.676073908185662,0.0775732610352516,b2836,b3399,b4384,b2744,b3708,b3008,b0871,b2779,b2926,b2407,b1238,b0120,b1982,b2797,b3117,b1814,b4471,b0595,b0675,b2361,b0261,b4381,b2239,b2406,b0112,b2789,b3127,b3453,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,
39,0.565446485893074,0.0648721863029614,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b3124,b0120,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b3709,b2406,b3161,b0112,b2789,b3127,b0452,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b1473,b0514,b4141,b1798,b3662,b2285,b4209,,,,,,,,,,,,,,,,,,
40,0.431423820236669,0.120451229683869,b3553,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b2926,b3617,b2407,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b1033,b4374,b2361,b2291,b0261,b1602,b2913,b2789,b3127,b1727,b0114,b2366,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,,,,,,,,,
40,0.761674548346525,0.00106063178522684,b3399,b4382,b0586,b4384,b2744,b3708,b3008,b0871,b0160,b0030,b3124,b2883,b1982,b2797,b3117,b1814,b4471,b1623,b2361,b2291,b0261,b0411,b2406,b2789,b3127,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3825,b0494,b1600,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,
41,0.494987038693393,0.298243723703076,b2836,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3708,b3008,b3752,b0871,b2779,b2926,b2407,b1238,b0121,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b4381,b2406,b0112,b2789,b3127,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b4141,b1798,b3662,,,,,,,,,,,,,,,,
41,0.498802385789935,0.287489209876689,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3708,b3008,b3752,b0871,b2925,b2097,b2926,b3617,b2407,b1238,b3124,b2690,b1982,b2797,b3117,b1814,b4471,b0261,b3945,b4381,b2406,b0112,b2789,b3127,b0114,b2366,b2492,b0904,b1533,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,
44,0.495234542901904,0.271334908048542,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b2779,b2926,b3617,b2883,b0120,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b4381,b0112,b2789,b3127,b0452,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b4141,b1798,b3662,,,,,,,,,,,,,
45,0.587560562658006,0.04207483310919,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b3617,b3124,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0822,b0112,b2789,b3127,b0452,b1727,b0114,b1539,b2492,b0904,b1533,b1912,b0514,b4141,b1798,,,,,,,,,,,,
53,0.49513237862084,0.30769778859102,b2836,b3553,b1478,b1241,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b1004,b3713,b1109,b0046,b3124,b3236,b1638,b3908,b1656,b0207,b3012,b1982,b0477,b4139,b2797,b3117,b1814,b4471,b1033,b0261,b0411,b2799,b1602,b2913,b4381,b2789,b3127,b3915,b0755,b3612,b1539,b2492,b0904,b2954,b1781,b3001,b1380,b0325,b0514,b1771,b2285,b1007,,,,
53,0.408975444221939,0.015249376504647,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3708,b3008,b1479,b0910,b0871,b2779,b0160,b3236,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b0675,b2361,b2291,b1415,b1014,b0261,b0822,b2913,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3821,b1380,b0325,b0508,b4266,,,,
54,0.375073710698274,0.208412570418685,b3553,b1478,b3399,b1241,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b2779,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b3709,b3161,b0112,b2789,b3127,b3915,b0452,b0755,b3612,b1539,b2492,b0904,b1533,b1380,b1473,b2660,b0514,b4141,b1798,b0606,b2285,b1010,b4209,,,
54,0.379923267060939,0.0666417324019627,b4467,b1478,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b2779,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3124,b3236,b0121,b0937,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b2799,b3945,b1602,b3709,b2913,b2406,b3161,b0112,b2789,b3127,b0452,b2975,b3603,b2366,b2492,b0904,b1533,b1380,b1473,b0514,b4141,b1798,b0606,b2285,b1011,,,
54,0.380264974857965,0.0648577491927553,b4467,b1478,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1779,b0121,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b2799,b3945,b1602,b3709,b2406,b3161,b0112,b2789,b3127,b3915,b0452,b2975,b3603,b1539,b2492,b0904,b1533,b1380,b1473,b2660,b4141,b1798,b0606,b2285,b1009,b4209,,,
57,0.387170292338604,0.196327731465746,b4467,b1478,b3399,b1241,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3124,b3236,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b3709,b0153,b3161,b0112,b2789,b3127,b2975,b3603,b0584,b0755,b3612,b1539,b2492,b0904,b1533,b2835,b1380,b1473,b0494,b2660,b4141,b1798,b0606,b2285,b1007
